Ulice,Mesto,Pocet
Klajdovská,Brno,13
Kigginsova,Brno,13
Kalvodova,Brno,13
Jabloňová,Brno,13
Helenčina,Brno,13
Dačického,Brno,13
Cimburkova,Brno,13
Chaloupky,Brno,13
Boettingrova,Brno,13
Blažkova,Brno,13
Axmanova,Brno,13
Železniční,Brno,12
Šromova,Brno,12
Wilsonův les,Brno,12
Vlnitá,Brno,12
Urbánkova,Brno,12
U velké,Brno,12
Tyršův sad,Brno,12
Stará dálnice,Brno,12
Spolková,Brno,12
Sibiřská,Brno,12
Rousínovská,Brno,12
Rekreační,Brno,12
Pod kopcem,Brno,12
Netušilova,Brno,12
Ludmily konečné,Brno,12
Konečného náměstí,Brno,12
K terminálu,Brno,12
Jiříkovského,Brno,12
Horní,Brno,12
Hlaváčova,Brno,12
Denisovy sady,Brno,12
Chrlická,Brno,12
Chalabalova,Brno,12
Alešova,Brno,12
Šaldova,Brno,11
Zikova,Brno,11
Zemkova,Brno,11
Zderadova,Brno,11
Zavřená,Brno,11
Vojanova,Brno,11
Táborského nábřeží,Brno,11
Tylova,Brno,11
Soukopova,Brno,11
Selská,Brno,11
Rázusova,Brno,11
Rudišova,Brno,11
Rezkova,Brno,11
Revoluční,Brno,11
Rebešovická,Brno,11
Rakovecká hotel,Brno,11
Přední,Brno,11
Popelákova,Brno,11
Otevřená,Brno,11
Měšťanská,Brno,11
Máchova,Brno,11
Mezníkova,Brno,11
Mazourova,Brno,11
Marie kudeříkové,Brno,11
Libušino údolí,Brno,11
Kohoutova,Brno,11
Joukalova,Brno,11
Jiránkova,Brno,11
Hájkova,Brno,11
Galandauerova,Brno,11
Elišky machové,Brno,11
Bidláky,Brno,11
Antonína slavíka,Brno,11
Adamcova,Brno,11
Štursova,Brno,10
Zeleného,Brno,10
Vysoká,Brno,10
Vyhlídalova,Brno,10
Vlkova,Brno,10
Svitavské nábřeží,Brno,10
Svatopetrská,Brno,10
Strakatého,Brno,10
Slunečná,Brno,10
Slatinská,Brno,10
Rybnická,Brno,10
Puchýřova,Brno,10
Prostějovská,Brno,10
Podveská,Brno,10
Plevova,Brno,10
Ondráčkova,Brno,10
Mrkosova,Brno,10
Mlýnské nábřeží,Brno,10
Lipská,Brno,10
Kroměřížská,Brno,10
Kovácká,Brno,10
Kolískova,Brno,10
Kníničská,Brno,10
Klíny,Brno,10
Kabátníkova,Brno,10
Jurkovičova,Brno,10
Gallašova,Brno,10
Fišova,Brno,10
Fanderlíkova,Brno,10
Desátková,Brno,10
Chelčického,Brno,10
Brno,Brno,10
Barvy,Brno,10
Žilkova,Brno,9
Štefáčkova,Brno,9
Škrétova,Brno,9
Šimáčkova,Brno,9
Šemberova,Brno,9
Řečkovická,Brno,9
Černovičky,Brno,9
náměstí karla IV.,Brno,9
Výšina,Brno,9
Vítězslavy kaprálové,Brno,9
Vinohradská,Brno,9
U vlečky,Brno,9
Tržní,Brno,9
Rysova,Brno,9
Roviny,Brno,9
Radlas,Brno,9
Podbělová,Brno,9
Lísky,Brno,9
Lomená,Brno,9
Kunštátská,Brno,9
Kluchova,Brno,9
Klecandova,Brno,9
Kladivova,Brno,9
Kaloudova,Brno,9
K západi,Brno,9
Hviezdoslavova,Brno,9
Gargulákova,Brno,9
Dulánek,Brno,9
Borodinova,Brno,9
Arne nováka,Brno,9
Šrámkova,Brno,8
Šaumannova,Brno,8
Čtvrtě,Brno,8
Za školou,Brno,8
Spálená,Brno,8
Sovova,Brno,8
Průchodní,Brno,8
Podsednická,Brno,8
Podlipná,Brno,8
Musorgského,Brno,8
Lipová,Brno,8
Křížová,Brno,8
Kvapilova,Brno,8
Komárovská,Brno,8
Keřová,Brno,8
Kejbaly,Brno,8
Ježkova,Brno,8
Humenná,Brno,8
Hubrova,Brno,8
Horákova,Brno,8
Fügnerova,Brno,8
Elplova,Brno,8
Colova,Brno,8
Bystrcká,Brno,8
Bendlova,Brno,8
Bartošova,Brno,8
Šoustalova,Brno,7
Záhumní,Brno,7
Za kostelem,Brno,7
Wainerovo náměstí,Brno,7
U potoka,Brno,7
Stejskalova,Brno,7
Slevačská,Brno,7
Sadovského,Brno,7
Rozmarýnová,Brno,7
Rozdrojovická,Brno,7
Rosická,Brno,7
Přímá,Brno,7
Podruhova,Brno,7
Ostrovačická,Brno,7
Nové náměstí,Brno,7
Nad dědinou,Brno,7
Měřičkova,Brno,7
Martina ševčíka,Brno,7
Lužická,Brno,7
Křehlíkova,Brno,7
Káčata,Brno,7
Kubíkova,Brno,7
Králova,Brno,7
Komprdova,Brno,7
Klimešova,Brno,7
K bukovinám,Brno,7
Jahodová,Brno,7
Hrozňatova,Brno,7
Havraní,Brno,7
Elgartova,Brno,7
Chironova,Brno,7
Bílovická,Brno,7
Bauerova,Brno,7
Barvičova,Brno,7
Bartákova,Brno,7
Wurmova,Brno,6
Vápenka,Brno,6
Václavkova,Brno,6
Vzhledná,Brno,6
Vodařská,Brno,6
Vnitřní,Brno,6
Veleslavínova,Brno,6
U sokolovny,Brno,6
Tuřanské náměstí,Brno,6
Trávníčkova,Brno,6
Tererova,Brno,6
Suzova,Brno,6
Strmá,Brno,6
Stavební,Brno,6
Sokolnická,Brno,6
Slezská,Brno,6
Sekaninova,Brno,6
Sedlákova,Brno,6
Schreberovy zahrádky,Brno,6
Scheinerova,Brno,6
Rovná,Brno,6
Roubalova,Brno,6
Pohankova,Brno,6
Neklež,Brno,6
Myslivní,Brno,6
Mikšíčkova,Brno,6
Matzenauerova,Brno,6
Kárníkova,Brno,6
Kremličkova,Brno,6
Krejčího,Brno,6
Kosíkova,Brno,6
Koláčkova,Brno,6
Klášterského,Brno,6
Klobásova,Brno,6
Kampelíkova,Brno,6
Kameníčkova,Brno,6
Jarní,Brno,6
Ivanovické náměstí,Brno,6
Högrova,Brno,6
Hvězdárenská,Brno,6
Hanácká,Brno,6
Filipínského,Brno,6
Elišky přemyslovny,Brno,6
Drčkova,Brno,6
Dlouhé hony,Brno,6
Břeclavská,Brno,6
Baarovo nábřeží,Brno,6
Žampachova,Brno,5
Švermův park,Brno,5
Škrochova,Brno,5
Červený kopec,Brno,5
Černovické nábřeží,Brno,5
Zachova,Brno,5
Výletní,Brno,5
Výhon,Brno,5
Vrbenského,Brno,5
Volfova,Brno,5
Tomáškova,Brno,5
Tolstého,Brno,5
Tilhonova,Brno,5
Studená,Brno,5
Staré náměstí,Brno,5
Slavkovská,Brno,5
Sladovnická,Brno,5
Skutilova,Brno,5
Schodová,Brno,5
Rybízová,Brno,5
Proškovo náměstí,Brno,5
Pramenná,Brno,5
Potocká,Brno,5
Podlesí,Brno,5
Perunova,Brno,5
Palackého vrch,Brno,5
Ovocná,Brno,5
Ostrá,Brno,5
Míčkova,Brno,5
Máchalova,Brno,5
Kroupova,Brno,5
Kroftova,Brno,5
Koutného,Brno,5
Kohoutovická,Brno,5
K rybníku,Brno,5
K lesu,Brno,5
Jánošíkova,Brno,5
Jundrovská,Brno,5
Jana nečase,Brno,5
Erbenova,Brno,5
Dufkovo nábřeží,Brno,5
Dolnopolní,Brno,5
Churého,Brno,5
Běly pažoutové,Brno,5
Bělidla,Brno,5
Buchtova,Brno,5
Broskvoňová,Brno,5
Brněnky,Brno,5
Blodkova,Brno,5
Azurová,Brno,5
Švédská,Brno,4
Škárova,Brno,4
přístavní,Brno,4
bratří žůrků,Brno,4
bratří pelíšků,Brno,4
Zubatého,Brno,4
Zlínská,Brno,4
Zeyerova,Brno,4
Zelná,Brno,4
Za kněžským,Brno,4
Weissova,Brno,4
Vyškovská,Brno,4
Vymazalova,Brno,4
Veleckého,Brno,4
Vaňkovo náměstí,Brno,4
Valašská,Brno,4
Uprkova,Brno,4
U křivé,Brno,4
Tůmova,Brno,4
Stránská,Brno,4
Spěšná,Brno,4
Sobotkova,Brno,4
Sobolova,Brno,4
Sládkova,Brno,4
Sladkovského,Brno,4
Sady,Brno,4
Ríšova,Brno,4
Richtrova,Brno,4
Raisova,Brno,4
Polívkova,Brno,4
Podstránská,Brno,4
Pionýrská,Brno,4
Panenská,Brno,4
Ostružinová,Brno,4
Ondříčkovo náměstí,Brno,4
Olšová,Brno,4
Nivky,Brno,4
Myslínova,Brno,4
Moravanská,Brno,4
Modřická,Brno,4
Mifkova,Brno,4
Mařákova,Brno,4
Malostranská,Brno,4
Letecká,Brno,4
