Joukalova;11;;;;2017-10-24 04:11:12.040;námìstí 28. øíjna 1, Brno-Èerná Pole
Joštova;134;;;;2017-10-25 08:15:00.000;námìstí 28. øíjna 19-naproti, Brno-Èerná Pole
Joštova-6 zezadu;2;;;;2017-10-26 11:01:00.000;námìstí 28. øíjna 19, Brno-Èerná Pole
Joky jabùrkové;1;;;;2017-10-30 10:35:00.000;námìstí 28. dubna 48, Brno-Bystrc
Jubilejní;3;;;;2017-10-31 11:50:00.000;námìstí 28. øíjna 17, Brno-Èerná Pole
Jugoslávská;552;;;;2017-11-01 13:20:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Juliánovské námìstí;28;;;;2017-11-01 13:20:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jundrov;1;;;;2017-11-01 13:27:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Jundrovská;5;;;;2017-11-01 13:27:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Jungmannova;15;;;;2017-11-01 13:35:00.000;námìstí 28. øíjna 8, Brno-Èerná Pole
Junácká;2;;;;2017-11-01 13:46:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Juranka;1;;;;2017-11-01 13:46:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Jurkovièova;10;;;;2017-11-02 14:24:00.000;námìstí 28. dubna, Brno
Jánošíkova;5;;;;2017-11-07 12:47:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jánská;219;;;;2017-11-07 12:47:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jánská-1/3;1;;;;2017-11-07 12:47:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jánská-25;1;;;;2017-11-07 12:55:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Járy cimrmana;2;;;;2017-11-07 12:55:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Jílkova;43;;;;2017-11-07 12:55:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Jílová;40;;;;2017-11-07 13:07:00.000;námìstí 28. øíjna 8, Brno-Èerná Pole
Jírova;40;;;;2017-11-07 23:39:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jírovcova;51;;;;2017-11-07 23:43:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
K babì;77;;;;2017-11-07 23:45:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
K bukovinám;7;;;;2017-11-07 23:48:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
K dálnici;3;;;;2017-11-08 09:32:00.000;námìstí 28. øíjna 11, Brno-Èerná Pole
K lesu;5;;;;2017-11-08 09:40:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
K lázinkám;1;;;;2017-11-08 09:50:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
K rybníku;5;;;;2017-11-08 19:43:00.000;námìstí 28. dubna 2, Brno-Bystrc
K sídlišti;1;;;;2017-11-08 21:16:00.000;námìstí 28. dubna 61, Brno-Bystrc
K terminálu;12;;;;2017-11-09 10:00:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
K západi;9;;;;2017-11-09 10:21:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Kabátníkova;10;;;;2017-11-09 10:21:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Kachlíkova;24;;;;2017-11-09 10:28:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Kainarova;3;;;;2017-11-09 10:28:11.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Kaleckého;14;;;;2017-11-13 04:16:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Kallabova;15;;;;2017-11-13 04:18:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Kaloudova;9;;;;2017-11-13 04:21:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Kalvodova;13;;;;2017-11-13 04:22:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
