ULICE,město,POCET celkem,POCET doprava
Petřvaldská,Brno,2,
Pflegrova,Brno,2,
Pionýrská,Brno,4,1
Pisárecká,Brno,18,1
Pivovarská,Brno,19,3
Plachtova,Brno,3,2
Plachty,Brno,57,7
Plevova,Brno,10,1
Plotní,Brno,122,21
Plovdivská,Brno,111,4
Plynárenská,Brno,2,1
Pod Borovníkem,Brno,1,1
Pod Cestou,Brno,1,
Pod Holednou,Brno,1,1
Pod Horkou,Brno,18,3
Pod Hády,Brno,1,1
Pod Kaštany,Brno,267,73
Pod Kopcem,Brno,12,3
Pod Mniší,Brno,1,
Pod Mniší Horou,Brno,52,
Pod Nemocnicí,Brno,58,10
Pod Sídlištěm,Brno,2,1
Pod Zahradami,Brno,1,
Pod Červenou,Brno,2,
Podbělová,Brno,9,
Podhájí,Brno,3,3
Podlesná,Brno,1,1
Podlesí,Brno,5,
Podlipná,Brno,8,3
Podlomní,Brno,2,
Podnikatelská,Brno,106,
Podnásepní,Brno,14,3
Podolská,Brno,3,3
Podpísečná,Brno,46,
Podpěrova,Brno,23,2
Podruhova,Brno,7,1
Podsedky,Brno,13,5
Podsednická,Brno,8,
Podskalská,Brno,1,
Podstránská,Brno,4,3
Podveská,Brno,10,3
Poděbradova,Brno,23,
Pohankova,Brno,6,
Pohořelec,Brno,23,2
Polní,Brno,627,40
Poláčkova,Brno,30,3
Polívkova,Brno,4,
Pompova,Brno,2,1
Ponávka,Brno,339,2
Popelova,Brno,1,1
Popelákova,Brno,11,1
Porhajmova,Brno,40,4
Porážka,Brno,1,
Potocká,Brno,5,1
Potácelova,Brno,17,
Poznaňská,Brno,78,7
Poříčí,Brno,426,5
Poštovská,Brno,112,1
Požární,Brno,1,1
Pramenná,Brno,5,
Pratecká,Brno,1,
Pražská,Brno,80,1
Pražákova,Brno,36,
Preslova,Brno,3,1
Prodloužená,Brno,2,1
Prokešova,Brno,1,1
Prokofjevova,Brno,29,1
Prokopa Velikého,Brno,1,
Prokopův Kopec,Brno,1,
Prostějovská,Brno,10,2
Prostřední,Brno,1,
Provazníkova,Brno,291,1
Proškovo Náměstí,Brno,5,1
Prumperk,Brno,2,
Prušánecká,Brno,146,7
Práčata,Brno,2,2
Průchodní,Brno,8,1
Ptašínského,Brno,30,1
Puchýřova,Brno,10,
Purkyňova,Brno,974,18
Puškinova,Brno,3,
Pálavské,Brno,1,
Pálavské Náměstí,Brno,243,46
Páteřní,Brno,19,
Písečník,Brno,1,
Píškova,Brno,2,
Přadlácká,Brno,446,3
Přední,Brno,11,6
Přemyslovo Náměstí,Brno,19,10
Příkop,Brno,207,4
Přímá,Brno,7,
Přírodní,Brno,113,
Přístaviště,Brno,1,
Přístavní,Brno,341,55
Přívrat,Brno,19,1
Přízova,Brno,29,3
Příčky,Brno,2,1
Příční,Brno,101,2
Pšeník,Brno,25,1
Pšikalova,Brno,3,
Radlas,Brno,9,
Radnická,Brno,179,
Raisova,Brno,4,
Rajhradská,Brno,3,2
Rakovecká,Brno,822,195
Rakovecká Hotel,Brno,11,
Rakovecká Zátoka,Brno,1,1
Ramešova,Brno,13,
Rašelinová,Brno,2,1
Rašínova,Brno,62,3
Rebešovická,Brno,11,6
Reissigova,Brno,37,
Rekreační,Brno,12,
Renneská Třída,Brno,142,24
Renčova,Brno,36,4
Rerychova,Brno,116,5
Resslova,Brno,35,1
Revoluční,Brno,11,
Rezkova,Brno,11,
Režná,Brno,2,2
Richtrova,Brno,4,
Riegrova,Brno,27,2
Roháčkova,Brno,3,
Rokle,Brno,1,1
Rokycanova,Brno,13,
Rokytova,Brno,226,7
Rolencova,Brno,1,1
Rolnická,Brno,153,2
Rooseveltova,Brno,1342,55
Rosická,Brno,7,
Rosického Náměstí,Brno,13,
Rostislavovo Náměstí,Brno,25,3
Rotalova,Brno,78,3
Rotreklova,Brno,3,
Roubalova,Brno,6,
Rousínovská,Brno,12,11
Rovinka,Brno,2,
Roviny,Brno,9,6
Rovná,Brno,6,
Rozdrojovická,Brno,7,
Rozmarýnová,Brno,7,7
Rozárka,Brno,2,1
Rudišova,Brno,11,1
Rumiště,Brno,95,17
Ruská,Brno,20,1
Ruský Vrch,Brno,1,1
Rybkova,Brno,250,1
Rybnická,Brno,10,3
Rybníček,Brno,20,
Rybářská,Brno,47,1
Rybízová,Brno,5,
Rygle,Brno,2,
Rysova,Brno,9,1
Ryšánkova,Brno,30,2
